Carrier,FM #,FM Code,Fuel Model Name,Wind Adj,1hr Load,10hr Load,100hr Load,Herb Load,Woody Load,Total Load,1hr SAV,Herb SAV,Woody SAV,Bed Depth,Moist Extinct,Dead Heat,Live Heat
GR,1,FB1,Short Grass,0.36,0.7,--,--,--,--,0.7,3500,--,--,1,12,8000,--
GR,2,FB2,Timber grass and understory,0.36,2,1,0.5,0.5,--,4,3000,1500,--,1,15,8000,8000
GR,101,GR1,"Short, sparse dry climate grass",0.31,0.1,--,--,0.3,--,0.4,2200,2000,--,0.4,15,8000,8000
GR,102,GR2,Low load dry climate grass,0.36,0.1,--,--,1,--,1.1,2000,1800,--,1,15,8000,8000
GR,104,GR4,Moderate load dry climate grass,0.42,0.3,--,--,1.9,--,2.2,2000,1800,--,2,15,8000,8000
GR,107,GR7,High load dry climate grass,0.46,1,--,--,5.4,--,6.4,2000,1800,--,3,15,8000,8000
GS,121,GS1,Low load dry climate grass-shrub,0.35,0.2,--,--,0.5,0.7,1.4,2000,1800,1800,0.9,15,8000,8000
GS,122,GS2,Moderate load dry climate grass-shrub,0.39,0.5,0.5,--,0.6,1,2.6,2000,1800,1800,1.5,15,8000,8000
GR,3,FB3,Tall grass,0.44,3,--,--,--,--,3,1500,--,--,2.5,25,8000,--
GR,103,GR3,Low load very coarse humid climate grass,0.42,0.1,0.4,--,1.5,--,2,1500,1300,--,2,30,8000,8000
GR,105,GR5,Low load humid climate grass,0.39,0.4,--,--,2.5,--,2.9,1800,1600,--,1.5,40,8000,8000
GR,106,GR6,Moderate load humid climate grass,0.39,0.1,--,--,3.4,--,3.5,2200,2000,--,1.5,40,9000,9000
GR,108,GR8,High load very coarse humid climate grass,0.49,0.5,1,--,7.3,--,8.8,1500,1300,--,4,30,8000,8000
GR,109,GR9,Very high load humid climate grass-shrub,0.52,1,1,--,9,--,11,1800,1600,--,5,40,8000,8000
GS,123,GS3,Moderate load humid climate grass-shrub,0.41,0.3,0.3,--,1.5,1.3,3.3,1800,1600,1600,1.8,40,8000,8000
GS,124,GS4,High load humid climate grass-shrub,0.42,1.9,0.3,0.1,3.4,7.1,12.8,1800,1600,1600,2.1,40,8000,8000
SH,4,FB4,Chapparal,0.55,5,4,2,--,5,16,2000,--,1500,6,20,8000,8000
SH,5,FB5,Brush,0.42,1,0.5,--,--,2,3.5,2000,--,1500,2,20,8000,8000
SH,6,FB6,Dormant Brush,0.44,1.5,2.5,2,--,--,6,1750,--,--,2.5,25,8000,--
SH,141,SH1,Low load dry climate shrub,0.36,0.3,0.3,0,0.2,1.3,2,2000,1800,1600,1,15,8000,8000
SH,142,SH2,Mod. load dry climate shrub,0.36,1.4,2.4,0.8,--,3.9,8.4,2000,--,1600,1,15,8000,8000
SH,145,SH5,High load dry climate shrub,0.55,3.6,2.1,--,--,2.9,8.6,750,--,1600,6,15,8000,8000
SH,147,SH7,Very high load dry climate shrub,0.55,3.5,5.3,2.2,--,3.4,14.4,750,--,1600,6,15,8000,8000
TU,161,TU1,Light load dry climate timber-grass-shrub,0.33,0.2,0.9,1.5,0.2,0.9,3.7,2000,1800,1600,0.6,20,8000,8000
TU,164,TU4,Dwarf conifer with understory,0.32,4.5,--,--,--,2,6.5,2300,--,2000,0.5,12,8000,8000
TU,165,TU5,Very high load dry climate timber-shrub,0.33,4,4,3,--,3,14,1500,--,750,1,25,8000,8000
TU,10,FB10,Timber litter and understory,0.46,3,2,5,--,2,12,2000,--,1500,1,25,8000,8000
SH,7,FB7,Southern rough,0.44,1.1,1.9,1,--,0.4,4.9,1750,--,1500,2.5,40,8000,8000
SH,143,SH3,Mod. load humid climate shrub,0.44,0.5,3,--,--,6.2,9.7,1600,--,1400,2.4,40,8000,8000
SH,144,SH4,Low load humid climate timber-shrub,0.46,0.9,1.2,0.2,--,2.6,4.8,2000,--,1600,3,30,8000,8000
SH,146,SH6,Low load humid climate shrub,0.42,2.9,1.5,--,--,1.4,5.8,750,--,1600,2,30,8000,8000
SH,148,SH8,High load humid climate shrub,0.46,2.1,3.4,0.9,--,4.4,10.7,750,--,1600,3,40,8000,8000
SH,149,SH9,Very high load humid climate shrub,0.5,4.5,2.5,--,1.6,7,15.5,750,1800,1500,4.4,40,8000,8000
TU,162,TU2,Moderate load humid climate timber-shrub,0.36,1,1.8,1.3,--,0.2,4.2,2000,--,1600,1,30,8000,8000
TU,163,TU3,Moderate load humid climate timber-grass-shrub,0.38,1.1,0.2,0.3,0.7,1.1,3.3,1800,1600,1400,1.3,30,8000,8000
TL,8,FB8,Compact timber litter,0.28,1.5,1,2.5,--,--,5,2000,--,--,0.2,30,8000,--
TL,9,FB9,Hardwood litter,0.28,2.9,0.4,0.2,--,--,3.5,2500,--,--,0.2,25,8000,--
TL,181,TL1,Low load compact conifer litter,0.28,1,2.2,3.6,--,--,6.8,2000,--,--,0.2,30,8000,--
TL,182,TL2,Low load broadleaf litter,0.28,1.4,2.3,2.2,--,--,5.9,2000,--,--,0.2,25,8000,--
TL,183,TL3,Moderate load conifer litter,0.29,0.5,2.2,2.8,--,--,5.5,2000,--,--,0.3,20,8000,--
TL,184,TL4,Small downed logs,0.31,0.5,1.5,4.2,--,--,6.2,2000,--,--,0.4,25,8000,--
TL,185,TL5,High load conifer litter,0.33,1.2,2.5,4.4,--,--,8.1,2000,--,--,0.6,25,8000,--
TL,186,TL6,Moderate load broadleaf litter,0.29,2.4,1.2,1.2,--,--,4.8,2000,--,--,0.3,25,8000,--
TL,187,TL7,Large downed logs,0.31,0.3,1.4,8.1,--,--,9.8,2000,--,--,0.4,25,8000,--
TL,188,TL8,Long-needle litter,0.29,5.8,1.4,1.1,--,--,8.3,1800,--,--,0.3,35,8000,--
TL,189,TL9,Very high load broadleaf litter,0.33,6.7,3.3,4.2,--,--,14.1,1800,--,--,0.6,35,8000,--
SB,11,FB11,Light slash,0.36,1.5,4.5,5.5,--,--,11.5,1500,--,--,1,15,8000,--
SB,12,FB12,Medium slash,0.43,4,14,16.5,--,--,34.6,1500,--,--,2.3,20,8000,--
SB,13,FB13,Heavy slash,0.46,7,23,28.1,--,--,58.1,1500,--,--,3,25,8000,--
SB,201,SB1,Low load activity fuel,0.36,1.5,3,11,--,--,15.5,2000,--,--,1,25,8000,--
SB,202,SB2,Moderate load activity or low load blowdown,0.36,4.5,4.3,4,--,--,12.8,2000,--,--,1,25,8000,--
SB,203,SB3,High load activity fuel or moderate load blowdown,0.38,5.5,2.8,3,--,--,11.3,2000,--,--,1.2,25,8000,--
SB,204,SB4,High load blowdown,0.45,5.3,3.5,5.3,--,--,14,2000,--,--,2.7,25,8000,--